source,target,weight
GMEB1,PLPPR5,10.110023616489377
JUN,LINC00466,10.077803003394667
JUN,DISP3,10.065631725146941
GFI1,UBXN10,10.065469728317321
ZNF684,ROR1-AS1,10.057344488503574
ENO1,LINC01356,10.03422379553435
NFYC,SLC44A3,10.033372325382038
TAL1,ZNF436-AS1,10.029741046769601
JUN,FCN3,9.97083885260892
TP73,SRM,9.899798903423427
JUN,BCAS2,9.894734716687134
MTF1,LINC01708,9.869051032792806
JUN,GSTM2,9.847496690076719
FOXJ3,FNDC7,9.841687920398153
MTF1,OSCP1,9.821361332295128
JUN,PARS2,9.798968605836553
JUN,DPYD-AS1,9.745448938674734
JUN,AK5,9.616649635170335
NFYC,OSBPL9,9.605195488077657
ENO1,HPDL,9.582985034274833
JUN,ST6GALNAC3,9.565549145607514
ENO1,MICOS10,9.554750995062296
ENO1,MXRA8,9.54516080371662
TFAP2E,A3GALT2,9.523541546877397
JUN,LINC01709,9.514303083569887
HIVEP3,LINC01768,9.50844565014418
HES2,VTCN1,9.497144686567783
JUN,PKN2-AS1,9.496325785815264
JUN,KIF1B,9.491686621063446
HIVEP3,ZNF683,9.491013239703866
E2F2,DIO1,9.485780928157512
MTF1,DDAH1,9.45611224115852
ENO1,PPT1,9.43204692429494
E2F2,MIR34AHG,9.413923518432277
HES4,LINC01134,9.403431866662535
JUN,AGO4,9.388414984488069
TFAP2E,ENO1-AS1,9.387705274528278
NFIA,HYI-AS1,9.375261467756456
HIVEP3,DNASE2B,9.357185399655261
FUBP1,ARHGAP29,9.330452759988102
MTF1,LINC01762,9.30508875001293
JUN,LINC01676,9.27615789426444
FOXJ3,NTNG1,9.268844027749887
JUN,STX12,9.256479865713759
RUNX3,PALMD,9.232225085983616
JUN,TTLL7,9.187597117425952
NFYC,FBLIM1,9.184930724165078
FOXJ3,CNN3,9.162847691169562
NFIA,ANGPTL7,9.132143054154975
JUN,SLC44A3,9.130874684568512
ENO1,PLA2G2F,9.1167421397652
JUN,SLC9A1,9.114358817492061
JUN,C1orf185,9.07334841334832
JUN,RHD,9.073307534095225
HIVEP3,C1QTNF12,9.059220340966492
E2F2,ZBTB8A,9.050935331233577
ENO1,PLEKHG5,9.031507826547669
HIVEP3,PRDM16,9.015879547653235
HES4,CHD5,8.999046517151239
FUBP1,RAB3B,8.958149559965552
FUBP1,TRIM63,8.957144319596127
MTF1,FAM87B,8.949163118492839
YBX1,CLCA4,8.947926748342429
JUN,PTGFR,8.94305074123196
ENO1,SH3BGRL3,8.935512618328026
MTF1,FYB2,8.93030341723519
JUN,HCRTR1,8.921352441288562
FOXJ3,AUNIP,8.91206925652632
HIVEP3,NKAIN1,8.907438121327361
JUN,HOOK1,8.860802765295782
YBX1,C1orf141,8.846073934293818
JUN,BCL10,8.84035447158637
JUN,LINC00115,8.838953279458048
GFI1,MPL,8.836880843026176
NFYC,PLA2G5,8.820030481240597
JUN,CSMD2-AS1,8.8153909155815
JUN,EMC1-AS1,8.806779960672454
YBX1,UQCRHL,8.788424625075045
YBX1,HPDL,8.78775010019382
JUN,COL8A2,8.785591606260812
ENO1,LINC01635,8.763356577508539
HES4,RHOC,8.746579309961396
JUN,CA6,8.745521367920816
