"","source","target","mor"
"9730","POU4F2","JUP",1
"9731","POU4F2","CDH1",1
"9732","POU4F1","JUP",1
"9733","FOXA2","ADH1A",1
"9734","GATA2","ADH1A",1
"9735","FOXO4","INS",1
"9736","HIF1A","CAD",1
"9737","STAT5B","CCND1",1
"9738","ZIC2","CAMK2A",1
"9739","ZNF91","CAMK2A",1
"9740","HIF1A","EGLN1",1
"9741","ELK3","PCYT1A",1
"9742","E2F1","DIRAS3",-1
"9743","E2F4","DIRAS3",-1
"9744","FOXI1","SLC4A9",1
"9745","SMAD9","FOXE3",1
"9746","ZEB2","FOXE3",1
"9747","MYB","BCL2L11",1
"9748","RUNX3","ITGA4",1
"9749","DDIT3","ASNS",-1
"9750","ATF5","ASNS",1
"9751","SP6","SP6",1
"9752","WT1","BAK1",1
"9753","RARA","CASP9",1
"9754","GCM1","CREBBP",1
"9755","GCM1","GCM1",1
"9756","NR6A1","FGF4",1
"9757","KLF2","MAP2K5",1
"9758","RUNX2","MMP9",1
"9759","RFXANK","ANKRA2",1
"9760","ZNF260","ADRA1D",1
"9761","ZNF260","NPPA",1
"9762","NR0B2","SCARB1",1
"9763","NR1H4","SCARB1",1
"9764","SMARCA5","BMP4",1
"9765","KLF4","SERPINE1",-1
"9766","KMT2A","CDKN1B",1
"9767","TP53","MST1",1
"9768","YY1","NPM1",-1
"9769","RARB","EGFR",1
"9770","CREB1","PBK",1
"9771","ESR1","LTBP1",1
"9772","IRF4","TNFSF10",-1
"9773","JDP2","PLXNB2",1
"9774","MYC","PLXNB2",1
"9775","POU2F1","OLR1",1
"9776","NFAT5","DHX9",1
"9777","ELF1","NOS2",1
"9778","TP53","CASP2",1
"9779","LEF1","SNAI2",1
"9780","SMAD1","SNAI2",1
"9781","PPARG","TG",-1
"9782","SP1","LHX3",1
"9783","STAT5A","NF1",1
"9784","SP1","CEND1",1
"9785","E2F1","PNRC2",-1
"9786","TP63","IGF1R",1
"9787","TP73","IGF1R",1
"9788","TP63","INSR",1
"9789","TP73","INSR",1
"9790","MSC","GOT1",1
"9791","GATA1","AHSP",1
"9792","POU2F1","AHSP",1
"9793","IRF3","LITAF",1
"9794","NR3C1","NCOA1",1
"9795","NCOA1","NR3C1",1
"9796","POU2F1","BCL2",1
"9797","POU2F2","BCL2",1
"9798","REL","SH3BGRL",1
"9799","JUN","HES1",-1
"9800","HES1","JUN",1
"9801","AR","TGFB1",1
"9802","POU1F1","OGN",1
"9803","ETS1","PDGFD",1
"9804","SP1","PDGFD",1
"9805","AHR","EREG",1
"9806","VDR","SPP1",1
"9807","STAT1","SMARCA4",1
"9808","NR1H4","SLC1A5",1
"9809","GATA5","CTNND1",1
"9810","EOMES","CTNND1",1
"9811","TP53","HP",1
"9812","JUN","PTN",1
"9813","JUND","PTN",1
"9814","GATA6","LMCD1",1
"9815","HEY2","NPPA",1
"9816","HEY1","GATA4",-1
"9817","HEY1","GATA6",-1
"9818","LRRFIP1","TNF",-1
"9819","CEBPA","ADH1B",1
"9820","CEBPA","ADH1C",1
"9821","CEBPB","ADH1B",1
"9822","CEBPB","ADH1C",1
"9823","NKX3-1","KLK3",-1
"9824","TP73","AFP",1
"9825","SP1","RAD9A",1
"9826","HNF1A","PKLR",1
"9827","SOX4","SOX4",1
"9828","SOX4","MECOM",1
"9829","SMAD3","TERT",-1
"9830","HLF","ABCB1",1
"9831","TCF3","ABCB1",1
"9832","PBX1","ABCB1",1
"9833","NR0B1","EWSR1",1
"9834","EWSR1","NR0B1",1
"9835","NR0B1","FLI1",1
"9836","FLI1","NR0B1",1
"9837","HOXA10","NCF2",-1
"9838","SPI1","ITGA3",1
"9839","SP3","ITGA3",1
"9840","GATA1","GSTP1",1
"9841","NR1H4","FGF19",1
"9842","NR0B2","PPARGC1A",-1
"9843","ESRRA","PPARGC1A",1
"9844","ESRRG","PPARGC1A",1
"9845","AR","PMEPA1",1
"9846","NKX3-1","PML",1
"9847","MYOD1","NEU1",1
"9848","NCOR1","TSHB",1
"9849","THRB","TSHB",-1
"9850","POU1F1","CREBBP",1
"9851","NFKB1","CD3E",1
"9852","NFATC2","CD4",1
"9853","ESR1","NFATC4",1
"9854","NFATC4","ESR1",1
"9855","NFATC4","CTSD",1
"9856","IRF3","CISH",1
"9857","IRF3","IL12A",1
"9858","IRF3","IL2RB",1
"9859","NCOR2","APP",1
"9860","NR1I2","APP",1
"9861","NR1I2","NCOR2",1
"9862","NCOR2","NR1I2",1
"9863","MYF5","RRAD",1
"9864","MYOD1","RRAD",1
"9865","MTF1","SELENOW",1
"9866","MTF1","CSRP1",1
"9867","MTF1","SLC39A10",-1
"9868","NR4A1","RPS6KA1",1
"9869","CEBPB","CAT",1
"9870","NFYA","ABCB1",1
"9871","USF1","SLC19A1",1
"9872","ATF1","MUC2",1
"9873","CREB1","MUC2",1
"9874","JUN","MUC2",-1
"9875","TP53","PRL",-1
"9876","ESR1","BRCA1",1
"9877","BRCA1","ESR1",1
"9878","JUN","BRCA1",1
"9879","FOS","BRCA1",1
"9880","BRCA1","FOS",1
"9881","SP1","CTH",1
"9882","TP53","TNFRSF10D",1
"9883","TP53","CCR6",1
"9884","TBX10","TP53",1
"9885","KLF6","KAT2B",1
"9886","SNAI1","CLDN1",1
"9887","SNAI2","CLDN1",-1
"9888","SP1","BMP6",1
"9889","ID2","LIPE",1
"9890","RELA","SAA1",1
"9891","STAT3","SAA1",1
"9892","VDR","APOA1",1
"9893","VSX2","CES1",1
"9894","VSX2","SAG",1
"9895","E2F6","STAG3",-1
"9896","THRB","TH",1
"9897","IRF7","CD80",1
"9898","STAT6","SCGB3A1",1
"9899","STAT1","SCGB3A1",-1
"9900","NFATC2","IFNG",1
"9901","CREM","CD247",-1
"9902","NR4A1","INSL3",1
"9903","PAX6","NEUROG2",1
"9904","NEUROG2","PAX6",-1
"9905","PAX6","FABP7",1
"9906","RUNX1","KLK3",1
"9907","RUNX2","KLK3",1
"9908","IRF8","IGFBP1",1
"9909","VDR","RELB",1
"9910","CDX2","FURIN",1
"9911","NR3C1","MUC5AC",-1
"9912","PPARA","CDKN2A",1
"9913","FOSB","CDK5",1
"9914","VDR","PTHLH",1
"9915","YBX1","YBX3",1
"9916","PPARA","NR1I2",1
"9917","NFE2L2","IGKV6-21",1
"9918","NFE2L2","MGST1",1
"9919","E2F1","BCL2L11",1
"9920","IRF4","IRF4",1
"9921","KLF4","TP53",1
"9922","TP53","KLF4",1
"9923","ETS2","TNC",1
"9924","TP63","MGMT",1
"9925","SPI1","ELANE",1
"9926","RUNX1","ELANE",1
"9927","DNMT3B","PCDH10",1
"9928","REST","SYP",-1
"9929","NR1H3","ABCD2",-1
"9930","GATA1","BST2",1
"9931","CREB1","NECTIN2",1
"9932","FOS","NECTIN2",1
"9933","JUN","NECTIN2",1
"9934","NR1H4","SLC51B",1
"9935","VDR","BAZ1B",1
"9936","HES1","REST",-1
"9937","ETS1","C3AR1",1
"9938","NCOA1","POLR2F",1
"9939","NCOA2","POLR2F",1
"9940","THRB","POLR2F",1
"9941","PGR","OXTR",1
"9942","SP1","OXTR",1
"9943","AR","SIN3A",1
"9944","NR1H3","ABCG4",1
"9945","NR3C1","ABCG4",1
"9946","NR3C1","ABCA1",-1
"9947","GLI3","IFT88",1
"9948","JUN","FABP6",1
"9949","HMGA1","IL10",1
"9950","EGR1","GAPDH",1
"9951","TP63","CDKN1C",-1
"9952","CTBP2","CTBP1",1
"9953","SP1","KISS1",1
"9954","TFAP2A","KISS1",1
"9955","TFAP2B","KISS1",1
"9956","SP1","IL21R",1
"9957","ELK1","TAGLN",-1
"9958","ELK1","MYLK",-1
"9959","ELK1","MYOCD",-1
"9960","NFATC3","DNAJB6",1
"9961","NFATC3","TNF",1
"9962","MYOD1","GABRB3",1
"9963","TCF12","GABRB3",1
"9964","RELB","CCND1",1
"9965","RELB","MYC",1
"9966","SP3","PLAUR",-1
"9967","SP1","TPK1",1
"9968","ESR1","SYP",1
"9969","REST","SCG2",-1
"9970","ESR1","GJD2",1
"9971","ESR1","BDNF",1
"9972","ESR1","GRIA2",1
"9973","WT1","NTRK2",1
"9974","HNF4A","SCP2",1
"9975","JUND","PRKCQ",1
"9976","SSRP1","PRKCQ",1
"9977","TP53","HSP90B2P",1
"9978","TP53","HSPA4",1
"9979","SP1","GRP",1
"9980","ESRRA","PCK1",-1
"9981","ESRRA","CYC1",1
"9982","ESRRA","GK",-1
"9983","PHF5A","CSF1",1
"9984","HIC1","SIRT1",-1
"9985","SIRT1","HIC1",1
"9986","PPARG","LIPE",1
"9987","SP1","LIPE",1
"9988","CREB1","INHA",1
"9989","CEBPB","DYM",1
"9990","NR1H4","PON1",-1
"9991","GATA6","KRAS",1
"9992","SPI1","FLT3",1
"9993","NR3C1","TDO2",1
"9994","SMARCA1","TDO2",1
"9995","SPI1","IRF4",1
"9996","IRF4","SPI1",1
"9997","IRF4","TRIM63",1
"9998","SPI1","TRIM63",1
"9999","SP1","KRT14",-1
"10000","SP3","KRT14",1
"10001","TBX21","IL2",-1
"10002","DNMT1","CDKN1A",1
"10003","MSC","PTPRC",1
"10004","YBX1","JAK1",1
"10005","TP53","HTT",1
"10006","HAND1","PHOX2B",1
"10007","PHOX2B","HAND1",1
"10008","HAND2","HAND1",1
"10009","PHOX2A","GATA2",1
"10010","PHOX2A","HAND1",1
"10011","SP1","LCP1",1
"10012","TFAP4","LCP1",1
"10013","ESR1","LCP1",1
"10014","EPAS1","EPO",1
"10015","SSRP1","TNFSF11",1
"10016","GLI3","PTHLH",1
"10017","SP1","CASP8",1
"10018","TAL1","CBFA2T3",1
"10019","EGR1","ARC",1
"10020","EGR3","ARC",1
"10021","GRHL3","HEY1",1
"10022","MYC","S100A7",1
"10023","SP1","FOSL1",1
"10024","ESR1","LMO4",1
"10025","LMO4","ESR1",1
"10026","LMO4","MTA1",1
"10027","MTA1","LMO4",1
"10028","ID1","INHBA",1
"10029","ID2","INHBA",1
"10030","ID3","INHBA",1
"10031","SP3","SMARCC1",1
"10032","PAX3","SMARCC1",1
"10033","PPARA","NPHS1",1
"10034","PRDM1","WNT8A",1
"10035","STAT5A","JAK3",1
"10036","STAT5A","CYP2B6",1
"10037","REL","NFKBIA",1
"10038","CUX1","ABL1",1
"10039","RELA","BIRC3",1
"10040","PROX1","FGFR3",1
"10041","TBPL1","EDN1",1
"10042","PPARA","UGDH",-1
"10043","RXRA","UGDH",-1
"10044","GATA6","HLA-E",1
"10045","NR2C2","IL2",1
"10046","STAT3","PNP",1
"10047","TP53","OGG1",1
"10048","ETS1","EPOR",-1
"10049","ETS1","GATA1",1
"10050","ETS1","GATA2",1
"10051","LEF1","CTLA4",1
"10052","ESR1","ETV4",1
"10053","MZF1","PRKCA",1
"10054","ELK1","PRKCA",1
"10055","HNF1B","ACE2",1
"10056","HNF1B","DPP4",1
"10057","CREB1","SCARB1",1
"10058","ZNF699","STMN1",1
"10059","MYBL2","E2F1",-1
"10060","E2F1","MYBL2",1
"10061","ATF5","CCND3",1
"10062","POU2F1","GLB1",1
"10063","CREB1","STAT4",1
"10064","POU2F1","STAT4",1
"10065","SP1","STAT4",1
"10066","STAT4","STAT4",1
"10067","STAT1","TBX21",1
"10068","CREB1","CCND2",-1
"10069","HIC1","HIC1",1
"10070","PPARG","PRODH",1
"10071","TP53","PRODH",1
"10072","HSF1","XAF1",-1
"10073","KLF13","LDLR",-1
"10074","NR3C1","FN1",1
"10075","JUNB","SRC",1
"10076","SP1","SERPINB5",1
"10077","AR","SERPINB5",-1
"10078","IRF8","NCOA3",1
"10079","NCOA3","IRF8",1
"10080","IRF8","TAT",1
"10081","NCOA3","TAT",1
"10082","SREBF1","CYP17A1",1
"10083","STAT5B","LEP",1
"10084","STAT3","INS",1
"10085","KCNIP3","SLC8A3",-1
"10086","TLX2","SLC8A3",1
"10087","BCL3","CXCL8",1
"10088","SMAD7","IFNA1",1
"10089","HNF4A","CDX4",1
"10090","ERG","HMOX1",1
"10091","FLI1","HMOX1",1
"10092","VEZF1","PFKFB3",1
"10093","VDR","NGF",1
"10094","ESRRA","NR0B1",1
"10095","NR0B1","ESRRG",-1
"10096","ESRRG","NR0B1",1
"10097","LMO2","BEX2",1
"10098","HOXD13","EPHA7",1
"10099","HOXA13","EPHA7",1
"10100","RUNX1","POLR2F",1
"10101","RUNX1","SKP1",1
"10102","ESRRA","PDK4",1
"10103","SRF","SERPINE1",-1
"10104","FOXM1","CDKN1A",1
"10105","FOXM1","CDKN2A",-1
"10106","FOXG1","TLE1",1
"10107","FOXG1","TLE6",1
"10108","GTF2I","CCND1",1
"10109","MYF5","FASTK",1
"10110","SSRP1","FASTK",1
"10111","SSRP1","MYH14",1
"10112","MYC","CLIC4",1
"10113","NKX3-1","CLIC4",1
"10114","MYC","BCL2",1
"10115","MYC","BCL2L1",-1
"10116","AR","PTGS2",-1
"10117","EGR1","IGHE",1
"10118","KLF6","SAMHD1",1
"10119","KLF6","IRF9",1
"10120","MEF2A","SLC6A6",1
"10121","MYOD1","SLC6A6",1
"10122","SMAD2","COL1A2",1
"10123","MYC","LDHA",1
"10124","SPI1","ALOX15",1
"10125","VDR","POU1F1",1
"10126","POU1F1","VDR",1
"10127","POU1F1","XPR1",1
"10128","DNMT3A","SMARCA4",1
"10129","ID1","TNFSF11",1
"10130","ID2","TNFSF11",1
"10131","ID2","OSCAR",1
"10132","TP53","RAD51",1
"10133","HNF4A","GCG",1
"10134","TP63","KRT14",1
"10135","NR2C2","CXCL8",1
"10136","E2F1","MCM8",1
"10137","NFKB1","CCL2",1
"10138","EBF2","TNFRSF11B",1
"10139","HNF4A","TNFRSF11B",1
"10140","LEF1","TNFRSF11B",1
"10141","DBP","ESR1",1
"10142","ATF3","GH1",1
"10143","NR0B2","TIMP2",1
"10144","DLX4","CTBP1",1
"10145","CTCF","TERT",-1
"10146","RORA","ROS1",1
"10147","JUN","TGFB1",1
"10148","GLI1","DKK2",1
"10149","GLI1","DKK3",1
"10150","GLI1","DKK4",1
"10151","GLI1","FRZB",1
"10152","GLI1","SFRP1",1
"10153","HOXD3","GABRB3",1
"10154","DNMT1","MCAT",1
"10155","SMAD4","HAMP",1
"10156","REST","NRP1",-1
"10157","TBP","GTF2F1",1
"10158","TBP","GTF2F2",1
"10159","TBP","HSPA4",1
"10160","E2F1","SKP2",1
"10161","SPI1","CDKN2A",1
"10162","TP63","TP63",1
"10163","FOXA1","BRCA1",1
"10164","FOXA1","CDKN1B",1
"10165","CTCF","DLK1",1
"10166","CEBPB","COL1A2",1
"10167","KAT7","APP",1
"10168","KAT5","LEPR",1
"10169","MEOX2","RNF10",1
"10170","SREBF2","ACOT7",1
"10171","HSF2","CLU",1
"10172","JUN","BDNF",1
"10173","PPARG","MAPK1",1
"10174","RUNX1","ADA",1
"10175","NFE2L2","VCAM1",-1
"10176","NFE2L2","CCL2",-1
"10177","NFE2L2","IL1B",1
"10178","NFE2L2","MAPK14",1
"10179","HMGA1","BAX",1
"10180","HMGA1","CDKN1A",1
"10181","RBPJ","LFNG",1
"10182","TP63","WNT4",1
"10183","TP73","WNT4",1
"10184","TP53","WNT4",1
"10185","MAF","CCN2",1
"10186","SP1","TARBP2",1
"10187","TFAP2A","TARBP2",1
"10188","TFAP4","TARBP2",1
"10189","AR","CARM1",1
"10190","HNF4A","CARM1",1
"10191","HNF4A","CREBBP",1
"10192","EGR1","MIP",1
"10193","EGR1","TFG",1
"10194","NR4A1","PPM1D",1
"10195","ESR1","PPM1D",1
"10196","NCOA1","PPM1D",1
"10197","CEBPB","SPI1",1
"10198","POU2F1","SPI1",1
"10199","IKZF1","HES1",-1
"10200","NFE2L2","PI3",1
"10201","PRDM2","MYC",-1
"10202","AR","PARK7",1
"10203","AR","TH",1
"10204","CTBP2","CDH1",-1
"10205","NR1H4","SLC51A",1
"10206","NR5A2","SLC51A",1
"10207","NR5A2","SLC51B",1
"10208","NR0B2","SLC51A",-1
"10209","NR0B2","SLC51B",-1
"10210","SREBF1","HDC",-1
"10211","YY1","HDC",-1
"10212","SPDEF","CSF1R",1
"10213","SPDEF","ERBB2",1
"10214","SPDEF","SPDEF",1
"10215","SNAI1","GSK3B",1
"10216","NR1H4","EDN1",-1
"10217","TP53","DDB1",1
"10218","TP53","CPD",1
"10219","MYF6","SCN8A",1
"10220","DNMT1","PDCD5",1
"10221","MYOG","MUSK",1
"10222","HR","MUSK",1
"10223","EGR1","ALOX5",1
"10224","SP1","ALOX5",1
"10225","MYC","MAPK14",1
"10226","SPI1","CTSS",1
"10227","MYB","PSMD4",1
"10228","PAX2","WNT4",1
"10229","NR1H3","SCD",1
"10230","SREBF1","SCD",1
"10231","MITF","PIAS3",1
"10232","RUNX1","IER3",1
"10233","RUNX1","TPO",1
"10234","TAL1","CCND1",1
"10235","DNMT3A","ASCL1",1
"10236","DNMT3A","EHMT2",1
"10237","DNMT3B","ASCL1",1
"10238","DNMT3B","EHMT2",1
"10239","DNMT3B","SUV39H1",1
"10240","ASCL1","EZH2",1
"10241","EZH2","ASCL1",1
"10242","EGR2","IGF1",1
"10243","RUNX3","BCL2L11",1
"10244","JUN","COL24A1",1
"10245","JUN","IL5",1
"10246","NCOR1","AR",1
"10247","AR","NCOR1",1
"10248","NCOR1","NCOR2",1
"10249","NCOR2","AR",1
"10250","AR","SMARCA1",1
"10251","CREB1","ABCA1",1
"10252","SP1","ABCC6",1
"10253","MYC","LARGE1",1
"10254","AR","ADM",1
"10255","USF1","ACACB",1
"10256","PAX3","RECK",1
"10257","HOXA5","KDR",1
"10258","SREBF1","GK",1
"10259","STAT1","TRIP6",1
"10260","CREB1","IFNA4",1
"10261","IRF7","IFNA4",1
"10262","HOXC13","CRISP3",1
"10263","PGR","SLPI",1
"10264","KLF9","SLPI",1
"10265","ZNF148","IAPP",1
"10266","SREBF2","CASP2",1
"10267","SP1","IFNA1",1
"10268","HNF4A","F13B",1
"10269","MYC","GABRA6",1
"10270","ZBTB17","GABRA6",1
"10271","AHR","NRIP1",1
"10272","ZEB2","MMP2",1
"10273","EGR1","CD40LG",1
"10274","EGR3","CD40LG",1
"10275","ID3","ID3",1
"10276","ID3","THBS1",1
"10277","TLX3","FBN1",1
"10278","TLX3","INSR",1
"10279","TLX3","MAP2K5",1
"10280","TLX3","TNFAIP8",1
"10281","SP1","EPAS1",1
"10282","SP3","EPAS1",1
"10283","USF1","HP",1
"10284","RELA","UPP1",1
"10285","HNF4A","APOA2",1
"10286","NR2F2","APOA2",1
"10287","NR2F2","APOB",1
"10288","NR2F2","APOC3",1
"10289","NR2F6","APOA2",1
"10290","NR2F6","APOB",1
"10291","NR2F6","APOC3",1
"10292","NR4A1","APOA2",1
"10293","NR4A1","APOC3",1
"10294","PITX2","APOA2",1
"10295","PITX2","APOB",1
"10296","E2F1","RAD51",1
"10297","EGR1","RAD51",1
"10298","ETS1","RAD51",1
"10299","ETV4","RAD51",1
"10300","STAT5A","RAD51",1
"10301","HIF1A","CCNA2",1
"10302","HIF1A","EGF",1
"10303","HIF1A","FGF2",1
"10304","TLX2","PHOX2B",1
"10305","PHOX2B","TLX2",1
"10306","E2F1","POLE3",1
"10307","MYC","POLE3",1
"10308","SP1","GIPR",1
"10309","SP3","GIPR",1
"10310","TAF1","TAF7",1
"10311","PPARG","BACE1",-1
"10312","CEBPA","GSTP1",-1
"10313","SREBF1","PCSK9",1
"10314","KAT7","IGFBP7",1
"10315","YBX3","HSPA4",1
"10316","MYB","CA1",1
"10317","ATF2","TGFBR2",1
"10318","SP7","TNF",1
"10319","SP1","AHR",-1
"10320","FOXA2","REG3G",1
"10321","TP63","ADA",1
"10322","SOX10","EDNRB",1
"10323","TBP","AFM",1
"10324","TBPL2","AFM",1
"10325","TP73","TP63",1
"10326","TP63","TP73",1
"10327","SMAD3","CILP",1
"10328","IRF1","CD274",1
"10329","SP3","ANG",-1
"10330","SP3","ANGPT2",1
"10331","NR1H3","NPC1L1",1
"10332","PPARA","NPC1L1",1
"10333","ZNF699","NOS2",1
"10334","JUN","KRT15",1
"10335","NFKB1","DEFB4B",1
"10336","RELA","DEFB4B",1
"10337","ISL1","RILP",1
"10338","RARA","CREBBP",1
"10339","CREBBP","RARA",1
"10340","ATF2","PTEN",1
"10341","STAT1","MVP",1
"10342","SP1","NOS2",1
"10343","SP1","NASP",1
"10344","ZGLP1","GLP1R",1
"10345","NCOA2","SERPINE1",1
"10346","HOXA10","CDH1",1
"10347","HOXA10","EPCAM",1
"10348","ATF1","IL6",1
"10349","NFE2L2","ABCC2",1
"10350","MZF1","ERCC1",-1
"10351","CTCF","ARSI",1
"10352","NFE2L2","EPHX1",1
"10353","LHX2","SAP18",1
"10354","LHX2","SAP30",1
"10355","STAT3","PTPN2",1
"10356","KLF6","SERPINA1",-1
"10357","KLF6","ADRA1D",1
"10358","KLF6","GSTP1",1
"10359","KLF6","A2M",1
"10360","KLF6","CTSB",1
"10361","TP53","FLT1",1
"10362","STAT6","TLR4",-1
"10363","VDR","CDKN1A",1
"10364","CEBPG","OSR2",1
"10365","HNF4A","POU2F1",1
"10366","NR0B2","GBA2",1
"10367","ESR2","RHD",1
"10368","CREBZF","CD86",1
"10369","ESRRB","NRIP1",1
"10370","ESRRB","THRA",1
"10371","RBPJ","FCRL5",1
"10372","JUN","RAC1",1
"10373","GTF3A","NME1",1
"10374","MYC","CCR5",1
"10375","MYC","NME1",1
"10376","TP53","MPO",1
"10377","WT1","MPO",1
"10378","SKIL","SMAD7",-1
"10379","RUNX2","GNAS",1
"10380","MAFB","GCG",1
"10381","CREM","CCL4",1
"10382","CREM","CISH",1
"10383","CREB1","CCL4",-1
"10384","TP53","GPX2",1
"10385","AR","CRH",-1
"10386","NFE2L2","SPARC",1
"10387","CREB1","PSENEN",1
"10388","E2F3","RB1",1
"10389","RB1","E2F3",-1
"10390","TP63","S100A2",1
"10391","TP73","S100A2",1
"10392","MSX1","PITX1",-1
"10393","SP3","MAPK8",1
"10394","JUN","MAP3K1",1
"10395","JUN","TERT",-1
"10396","SP1","MAP2K1",1
"10397","SP1","MAP3K1",1
"10398","SP3","MAP2K1",1
"10399","SP3","MAP3K1",1
"10400","GATA5","PGR",1
"10401","MYC","PUF60",1
"10402","RELA","MTDH",1
"10403","CEBPB","XDH",1
"10404","GATA4","HSPA5",1
"10405","EGR1","PSMB9",-1
"10406","EGR1","SGK1",1
"10407","CEBPG","MMP1",1
"10408","MITF","HGF",1
"10409","NCOA1","CYP3A4",1
"10410","NR0B2","CYP3A4",1
"10411","CEBPA","KLK3",-1
"10412","ELK3","HMOX1",1
"10413","FOXC2","INS",1
"10414","FOXC2","SERPINE1",1
"10415","MTF1","HSPA1A",-1
"10416","CEBPB","MAP3K14",1
"10417","CEBPB","MAP4K4",1
"10418","CEBPB","SLC2A4",1
"10419","PPARG","MAP3K14",-1
"10420","PPARG","MAP4K4",-1
"10421","AEBP1","APOE",1
"10422","AEBP1","CD36",1
"10423","AEBP1","TNF",1
"10424","NR1H3","CCL2",1
"10425","NR1H3","CD36",1
"10426","TP53","VDR",1
"10427","TP63","VDR",1
"10428","BHLHE40","BIRC5",1
"10429","SOX6","HBE1",-1
"10430","RARB","LAMB1",1
"10431","EGR1","SLC9A3",1
"10432","ELF1","LAT",1
"10433","HNF4A","FGF18",1
"10434","HNF4A","FGF20",1
"10435","NFKB1","GCA",1
"10436","PPARD","PNPLA2",1
"10437","IKZF1","GHRH",1
"10438","WT1","EPO",1
"10439","NR5A2","INSL3",1
"10440","HES5","HTR1A",-1
"10441","EGR1","PGK1",1
"10442","SMARCA5","ADH1B",1
"10443","ETS1","CCN2",1
"10444","FLI1","CCN2",1
"10445","MYC","CXCL12",1
"10446","NR1H2","PTH",1
"10447","GATA4","BCL2",1
"10448","TP63","CKAP5",1
"10449","RELA","MYLK",1
"10450","NFKB1","MYLK",1
"10451","TP53","HPSE",1
"10452","AR","WNT1",1
"10453","HNF4A","WNT1",1
"10454","LEF1","AR",1
"10455","NFATC4","NOS2",1
"10456","RUNX2","PTGS2",1
"10457","NFE2L2","AKR1C2",1
"10458","SP1","TBK1",1
"10459","CTCF","HBA1",1
"10460","AR","PMAIP1",1
"10461","TP53","ADRA1D",1
"10462","TP53","PYHIN1",1
"10463","HNF4A","IL1B",1
"10464","SREBF1","VEGFA",-1
"10465","DNMT1","DNMT3B",1
"10466","DNMT3B","DNMT1",1
"10467","MYC","GCLC",1
"10468","ESR1","HSP90AA1",1
"10469","JUN","HSP90AA1",1
"10470","NFKB1","CREBBP",1
"10471","NFKB1","HSP90AA1",1
"10472","RELA","HSP90AA1",1
"10473","NCOA2","TNF",1
"10474","ESR1","MAOB",1
"10475","ESR2","MAOB",1
"10476","ESRRA","MAOB",1
"10477","WT1","CSF3",1
"10478","ELF1","ENG",1
"10479","ERG","ENG",1
"10480","NR1H3","IFNG",1
"10481","FOS","FOSB",1
"10482","FOSB","FOS",-1
"10483","SIX1","EZR",1
"10484","MYC","AKT1",1
"10485","SSRP1","ROS1",1
"10486","NFATC4","TNF",1
"10487","PPARG","PDX1",1
"10488","HNF1A","SLCO2B1",1
"10489","PATZ1","CD8A",1
"10490","DNMT1","PLAUR",1
"10491","FOXO1","GCK",1
"10492","FOXO1","SREBF1",-1
"10493","NR1I3","CYP7A1",1
"10494","NR1I3","DR1",1
"10495","NR1I3","HNF4A",1
"10496","NCOA2","DR1",1
"10497","PPARA","TXN",1
"10498","PPARA","ACADM",1
"10499","AR","SARM1",1
"10500","VSX2","CARM1",1
"10501","VSX2","CREBBP",1
"10502","ZEB1","CCNG2",1
"10503","ZEB1","RBL2",1
"10504","RELA","HAMP",1
"10505","STAT1","FGF2",1
"10506","AR","GREB1",1
"10507","RELA","CARM1",1
"10508","ATF2","NOS3",-1
"10509","CREB1","NOS3",1
"10510","NFE2L2","FMR1",1
"10511","CREB1","FMR1",1
"10512","NFATC2","PLD1",1
"10513","DNMT1","WIF1",1
"10514","DNMT3B","WIF1",1
"10515","TP53","UBD",-1
"10516","MEF2A","BCO1",1
"10517","PPARG","BCO1",1
"10518","MEF2C","BCO1",1
"10519","PPARA","BCO1",1
"10520","HIF1A","IL1B",1
"10521","TBX6","MESP2",1
"10522","THRA","ANGPTL3",1
"10523","THRB","ANGPTL3",1
"10524","RARA","RARG",1
"10525","RARG","RARA",1
"10526","HIF1A","AVP",1
"10527","HIF1A","CISH",1
"10528","HIF1A","NPPB",1
"10529","CLOCK","CLOCK",1
"10530","MYC","BMAL1",1
"10531","MYC","CLOCK",1
"10532","TP53","MYO6",1
"10533","YBX3","CCND1",1
"10534","CUX1","CCNE2",1
"10535","VDR","FGF8",-1
"10536","VDR","KLK3",1
"10537","SNAI1","SNAI2",1
"10538","SNAI2","SNAI2",1
"10539","SNAI2","SOX9",-1
"10540","SOX9","SNAI2",1
"10541","MEF2C","MAML1",1
"10542","EPAS1","POU5F1",-1
"10543","HIF1A","POU5F1",1
"10544","KMT2A","APC",1
"10545","KMT2A","BTRC",1
"10546","KMT2A","MYC",1
"10547","MYC","BTRC",1
"10548","ESR1","HSP90B1",1
"10549","ESR1","SNCA",1
"10550","PPARG","PPARGC1A",1
"10551","ELF1","ELF1",1
"10552","ELF1","NFKB1",1
"10553","ELF1","IL12B",1
"10554","ESR1","NFYA",1
"10555","ATF4","PLAT",1
"10556","ATF4","TH",1
"10557","CEBPG","TH",1
"10558","CREB1","TAC1",1
"10559","KCNIP3","NPFF",1
"10560","PDX1","NPFF",1
"10561","POU1F1","NPFF",1
"10562","POU2F1","NPFF",1
"10563","SSRP1","CCNE1",1
"10564","SSRP1","TNFRSF11A",1
"10565","NFE2L2","COX4I1",1
"10566","ETS1","NPR1",1
"10567","NFATC2","FOXP3",1
"10568","CDX1","CCL25",1
"10569","SP1","JAK3",1
