"","Androgen","EGFR","Estrogen","Hypoxia","JAK-STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","WNT","p53"
"SAM7f0d9cc7f001",0.862131871632258,0.149279526860944,-0.0163447505261735,-0.499514967799233,-0.350157738805564,-0.645868712088847,1.47201825862406,-0.730709096730704,0.360758722887882,0.136696826075865,1.30695183779985,-0.831954659000734,-0.204702079063493,0.225898943446653
"SAM4305ab968b90",-1.61145582209487,-0.666898380057057,-0.0558814617148964,-0.0747952102297743,-1.89649519861664,0.904222476051132,-1.89817984572374,-0.544420405486808,-1.91409244142734,-1.03677993532854,-1.76799801148608,1.88057807967188,-1.16092532830921,0.0596980540001838
"SAMcf018fee2acd",0.703962382578045,-0.017013006867213,-1.34544356498176,-0.094170968637125,0.0604314432662177,-1.02614719803635,0.155228742195294,-1.85384315055196,-0.781746856914159,-0.671775294386299,0.942157474297034,-1.02132258708969,0.0793840956356264,1.40307042191294
"SAMcc4675f394a1",2.35487899180505,-0.136536390266883,-0.47581002428182,-0.118159899590132,-0.714756979225683,-1.67544997061985,-0.870007903398371,-1.07629078666174,-0.0203042390887019,1.08920174588228,0.244092493007394,-1.07861341749859,0.513598764704385,0.598308346785938
"SAM49f9b2e57aa5",-0.741017487312103,-0.0776529918412785,0.114804665177195,0.00556361496407653,-1.63815614926854,1.05654304998282,-0.575050335358009,0.12926584107107,-0.73803789515922,-1.06506988770721,-0.527467148125406,-0.797954256549628,0.220988487887107,-0.0746851428383823
"SAM2e7aa8fa0ab3",-1.62019563618094,-0.969697870643277,-1.40419900955324,0.142124270682885,-0.436773892290306,-1.43052283258274,0.0544762506976209,0.0191010797241968,-0.21711601766143,-0.874043647874597,-0.526866558494262,0.921170461478271,1.06902279488714,0.436873150624384
"SAMdf3e42c8672a",-0.0359283897525082,1.06099792628393,1.55896219032004,1.17843551451409,0.282438940188325,1.52618364104436,0.390032972716748,1.51166299025064,-0.122347974789278,1.01883203385426,-0.337815036373576,0.829679566556597,-0.349362463372952,-1.06767869913698
"SAMd027124354ce",-1.22516802676023,-0.421520349863946,2.4338526504588,1.73139959715124,-0.511771382136485,0.85473208639698,-0.34992041813238,1.66570999777979,0.0744752772520987,-0.268996237735572,-1.10732751683242,-1.13273091665077,-0.751451802414683,-1.3629373348414
"SAMe7bf6c015192",0.27760728444517,0.266016011116622,-0.575603986624333,0.00313417709470897,0.565207915270848,-0.622133506003436,0.590543097470351,0.719626363559351,0.16784604721774,0.841149110089561,0.95526858886662,0.0817098286049061,-0.0791871144581946,0.0342176446425889
"SAM6dd7ad1d797d",-1.45422101695948,1.69044600520886,1.33280931765817,-0.447299186145765,2.13194362761456,1.05735356069912,1.81053649841623,2.00156246654082,1.64526306276972,0.730486820388689,0.582665270403011,2.68490435176075,0.0134009036169211,-0.924734227536193
"SAM18039827e1b9",0.698992755973645,-0.858970792312566,-1.86092916775082,0.00491235220864885,-1.53675738811109,0.744850290896334,-0.993200607067147,-0.822781658022332,-0.917231292680127,-0.0373806521700371,-0.603561543817654,0.859828245869503,0.792544453565252,-0.0566292292755976
