"Cell_subgroups","Methods-signatures"
"CD8.cells_Subgroup.2.Iteration.1","DeconRNASeq_CCLE.TIL10_CD8.cells
Epidish_LM22_CD8.cells
DWLS_TIL10_CD8.cells
Epidish_TIL10_CD8.cells
CBSX_CCLE.TIL10_CD8.cells"
"T.cells.helper_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.helper
Epidish_LM22_T.cells.helper"
"Dendritic.cells_Subgroup.1.Iteration.1","DeconRNASeq_CCLE.TIL10_Dendritic.cells
DeconRNASeq_TIL10_Dendritic.cells
Epidish_CCLE.TIL10_Dendritic.cells
DWLS_CCLE.TIL10_Dendritic.cells
Epidish_TIL10_Dendritic.cells"
"Cancer_Subgroup.1.Iteration.1","CBSX_BPRNACan_Cancer
Epidish_BPRNACan3DProMet_Cancer
DWLS_BPRNACan3DProMet_Cancer"
"Cancer_Subgroup.1.Iteration.2","DeconRNASeq_CBSX.HNSCC.scRNAseq_Cancer
DeconRNASeq_CBSX.Melanoma.scRNAseq_Cancer"
"Cancer_Subgroup.1.Iteration.3","DWLS_CBSX.Melanoma.scRNAseq_Cancer
Cancer_Subgroup.1.Iteration.2"
"Endothelial_Subgroup.1.Iteration.1","Epidish_CBSX.HNSCC.scRNAseq_Endothelial
DWLS_CBSX.HNSCC.scRNAseq_Endothelial
CBSX_CBSX.HNSCC.scRNAseq_Endothelial"
"Endothelial_Subgroup.2.Iteration.1","Epidish_CBSX.Melanoma.scRNAseq_Endothelial
CBSX_CBSX.Melanoma.scRNAseq_Endothelial"
"Endothelial_Subgroup.3.Iteration.1","DeconRNASeq_DWLS.NBAtlas.scRNAseq_Endothelial
Epidish_DWLS.NBAtlas.scRNAseq_Endothelial"
"Endothelial_Subgroup.4.Iteration.1","CBSX_DWLS.NBAtlas.scRNAseq_Endothelial
DeconRNASeq_MOMF.NBAtlas.scRNAseq_Endothelial
DWLS_MOMF.NBAtlas.scRNAseq_Endothelial"
"Endothelial_Subgroup.1.Iteration.2","Epidish_MOMF.NBAtlas.scRNAseq_Endothelial
Endothelial_Subgroup.4.Iteration.1"
"Plasma_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Plasma
Epidish_LM22_Plasma
Epidish_DWLS.NBAtlas.scRNAseq_Plasma
CBSX_LM22_Plasma"
"Plasma_Subgroup.2.Iteration.1","DeconRNASeq_DWLS.NBAtlas.scRNAseq_Plasma
DWLS_DWLS.NBAtlas.scRNAseq_Plasma
Epidish_MOMF.NBAtlas.scRNAseq_Plasma"
"Fibroblasts_Subgroup.1.Iteration.1","CBSX_DWLS.NBAtlas.scRNAseq_Fibroblasts
CBSX_MOMF.NBAtlas.scRNAseq_Fibroblasts
DWLS_MOMF.NBAtlas.scRNAseq_Fibroblasts
DWLS_DWLS.NBAtlas.scRNAseq_Fibroblasts"
"CAF_Subgroup.2.Iteration.1","DWLS_CBSX.HNSCC.scRNAseq_CAF
CBSX_CBSX.Melanoma.scRNAseq_CAF"
"CAF_Subgroup.1.Iteration.2","DeconRNASeq_CBSX.HNSCC.scRNAseq_CAF
DeconRNASeq_CBSX.Melanoma.scRNAseq_CAF
CAF_Subgroup.2.Iteration.1"
"CAF_Subgroup.1.Iteration.3","Epidish_CBSX.Melanoma.scRNAseq_CAF
CAF_Subgroup.1.Iteration.2"
"Neuroendocrine.cells_Subgroup.1.Iteration.1","CBSX_DWLS.NBAtlas.scRNAseq_Neuroendocrine.cells
DeconRNASeq_MOMF.NBAtlas.scRNAseq_Neuroendocrine.cells"
"Schwann.cells_Subgroup.1.Iteration.1","DeconRNASeq_DWLS.NBAtlas.scRNAseq_Schwann.cells
DWLS_DWLS.NBAtlas.scRNAseq_Schwann.cells
Epidish_MOMF.NBAtlas.scRNAseq_Schwann.cells"
"Neuroblasts_Subgroup.1.Iteration.1","DeconRNASeq_Jansky_signatures_reduced_Neuroblasts
CBSX_Jansky_signatures_reduced_Neuroblasts
Epidish_Jansky_signatures_reduced_Neuroblasts"
"Neuroblasts_Subgroup.2.Iteration.1","DeconRNASeq_Jansky_signatures_reduced_cycling.Neuroblasts
CBSX_Jansky_signatures_reduced_cycling.Neuroblasts
Epidish_Jansky_signatures_reduced_cycling.Neuroblasts"
"cycling.Neuroblasts_Subgroup.1.Iteration.1","DeconRNASeq_Jansky_signatures_reduced_cycling.Neuroblasts
CBSX_Jansky_signatures_reduced_cycling.Neuroblasts
Epidish_Jansky_signatures_reduced_cycling.Neuroblasts"
"cycling.SCPs_Subgroup.1.Iteration.1","Epidish_Jansky_signatures_reduced_cycling.SCPs
DWLS_Jansky_signatures_reduced_cycling.SCPs"
"connecting.Chromaffin.cells_Subgroup.1.Iteration.1","Epidish_Jansky_signatures_reduced_connecting.Chromaffin.cells
DWLS_Jansky_signatures_reduced_connecting.Chromaffin.cells"
"SCPs_Subgroup.1.Iteration.1","DeconRNASeq_Jansky_signatures_reduced_SCPs
Epidish_Jansky_signatures_reduced_SCPs"
"SCPs_Subgroup.2.Iteration.1","Epidish_Jansky_signatures_reduced_cycling.SCPs
DWLS_Jansky_signatures_reduced_cycling.SCPs"
"Chromaffin.cells_Subgroup.1.Iteration.1","Epidish_Jansky_signatures_reduced_connecting.Chromaffin.cells
DWLS_Jansky_signatures_reduced_connecting.Chromaffin.cells"
"Chromaffin.cells_Subgroup.2.Iteration.1","Epidish_Jansky_signatures_reduced_Chromaffin.cells
DWLS_Jansky_signatures_reduced_Chromaffin.cells"
