"Bridge"	"connecting Chromaffin cells"	"Neuroblasts"	"cycling Neuroblasts"	"SCPs"	"cycling SCPs"	"Chromaffin"
"CDH9"	3.55394638262194	0.319494343736451	0.0627639494716913	0.135025688092948	0.0741911254666909	0.0604430878879929	0.315752498780533
"CSMD3"	1.61827265292041	0.0446691427852739	0.0302988437189302	0.0486671387505518	0.0639959510932349	0.0980116293709648	0.24367882127983
"VWDE"	2.72210402745117	0.298240396643569	0.140030829634714	0.122743280968794	0.324546449025453	0.849469695467686	0.206237385598199
"CTTNBP2"	1.45937097432227	0.153230516574377	0.0611037879915137	0.0746186845232174	0.223011784639206	0.341273740858784	0.103009006237158
"OLFM3"	1.42062013310787	0.22808063953871	0.162061758456967	0.0594423926657406	0.0414037821929948	0.0120020409975372	0.158709994058523
"CACNA2D1"	10.8548295794603	2.99675394720286	1.92102335589689	2.55986640654964	1.03587087704371	1.56662264695529	2.32803552084956
"ZNF804A"	15.874844778501	3.54747645753968	2.24949659838935	2.56105473932417	2.05453917440797	2.48002016463774	3.82379656014888
"DPYD"	8.94926596078188	1.98098904635587	1.73508893397774	2.17844807875189	1.22061202775692	2.09308513565175	2.45645438041465
"ERBB4"	5.1693030224956	1.45042013494056	0.143144493395257	0.209470789543944	5.82878287717566	13.3230267298586	0.320693773974851
"RBMS1"	7.64876734381251	1.99625430077878	1.90096933388864	2.00559525193573	1.48409054291983	2.61596457768432	2.39819679493243
"FNDC5"	0.699038735464751	0.170682894481176	0.156268537199104	0.0903540165677826	0.111959029899091	0.143899801453244	0.145932537985243
"CACNA2D3"	1.38055823662038	7.00239612152592	11.9538674319843	10.4551082552936	0.383046707692514	0.261619909778427	6.48928345504891
"CCDC171"	2.87677503008083	0.773963551330244	0.714723246177513	0.820969475323973	0.84135993070324	2.1130650421966	0.240972439536138
"NELL2"	2.94131915028376	0.341649701343024	0.710607247077927	0.702415812074292	0.955822959126565	2.12706650101108	0.29334472672031
"RP11-282I1.1"	1.43271668160272	0.0976154283245198	0.0956303333212956	0.123947347135907	0.138077978382136	0.172022631103241	0.0804773627895772
"SAMD11"	1.01423524595677	0.210858971981723	0.332973945802416	0.312405520994839	0.396800513507307	0.796639754761764	0.120896522048726
"DCC"	3.07027664039009	0.482335236938758	0.424432261801671	0.433830357450519	0.733565989128104	0.611034634735374	0.730976262172102
"DPYD-AS1"	1.46284035311019	0.5913439001473	0.21677225581465	0.302651336527976	0.186381601064221	0.249490473799053	0.470999737706613
"TBX2"	1.98934113062882	0.438541961171961	0.61976197393213	0.657466603146777	1.31919271381833	2.84831660621747	0.104063835953517
"RBFOX1"	3.60578846895815	21.4588398511158	45.7526585898581	39.7556177913183	1.27798228840347	1.04128091987241	10.1260658325238
"FAM160A1"	1.09977734570735	0.261308115358485	0.0443974394541583	0.0440740905189414	0.106948362114534	0.0687412569930681	0.553991813220837
"RP11-624C23.1"	0.78116390279454	0.0400323514397487	0.124628235760963	0.0344825448104408	0.103112583362774	0.031609250229197	0.110972367764407
"DACH2"	1.73970467439732	0.475244297825792	0.45493654478414	0.417700021921747	0.320915456703586	0.421278688775767	0.285835316756258
"RP11-776H12.1"	1.44391766477972	0.0343648907740694	0.0129548320526949	0.0104235186805395	1.52236719516357	1.83720081105323	0.0227841642985286
"GREB1L"	3.25407133027425	1.17800703515936	0.750928196304467	1.00694773155792	0.145031673624055	0.130142047914975	1.17169285021548
"PTCHD4"	0.606103416436393	0.251982313278821	0.0179853737711055	0.047943131645878	0.0266680861902995	0.0340262997614542	0.0851638106201336
"CAMK4"	4.21226132685118	2.14379798571589	1.28719350263062	1.54113372149138	0.165999640256606	0.169907776726551	2.11146700317319
"GLCE"	1.16096604548532	0.415298166107891	0.271403033655689	0.242250999194859	0.207391586299153	0.316975179331418	0.14441192905251
"EML5"	18.4067817159739	10.5031181874373	9.11508988795896	7.81521513973982	0.608799848626757	0.537037402300046	4.61129686104229
"TBX20"	1.70829316917873	0.409466010022185	0.497645135819115	0.359908523952598	0.035961091672339	0.0339822402521682	0.814994322625166
"ROBO2"	9.62539440621836	6.8673579941844	2.72804501256868	3.49102558511137	1.3031727838121	2.26732324390826	5.64841534492998
"RP11-436K8.1"	1.50537948655451	0.0777346707224255	0.00767465114413692	0.0117581539028788	1.70658552432295	2.8719544179603	0.0731792380217635
"NRG1"	1.6688689163222	6.57921574660456	12.6817041064213	13.0303126181905	0.429944286896601	0.168755807114898	4.96657131725319
"MIAT"	2.18920073931123	1.30867046890754	0.732967593557285	0.442854951926225	0.0649946579298901	0.086761046936928	0.962446844165772
"TTL"	1.285790008815	0.41688266672777	0.328777339639434	0.410288900259136	0.251452473771645	0.60764391626461	0.415727792553647
"STARD4-AS1"	1.33527218192402	0.317303114069356	0.623820673253275	0.518007093660775	0.411327265571939	0.493257335146348	0.276268293975521
"HAND2"	3.84383502879655	2.18515340113717	1.72530633289841	2.09168368207716	0.385321291884544	0.54100657986225	1.06764243960752
"RP11-296E23.1"	0.540617679690974	0.167426576507645	0.166740759200465	0.131118650520348	0.0278131975318997	0.0391061835819138	0.262944068842312
"NREP"	1.59965922015124	0.658648522533647	0.86063134731875	0.733270192901755	0.760082188769117	1.02509867478163	0.36581563613373
"SHD"	0.519150288350594	0.307947818730817	0.175099402506335	0.286765810031651	0.0701891027173116	0.13899528739831	0.123379260298847
"KCNK2"	0.664305974780867	0.0337137051696794	0.0526433893270388	0.0726326273381721	0.390172326156328	0.469334411807591	0.0507899497030838
"EPHA7"	1.15417915994338	0.215080423380771	0.325367179856515	0.335476093894428	0.354099419577225	0.319504503145749	0.0842287017344386
"BMPR1B"	0.672641179883924	2.62813793109721	5.4753973416756	5.01285209695657	0.237468676140278	0.180954241872989	2.22271046306043
"MEIS1"	5.09597220035933	1.83182342539497	2.83462476805497	2.41454899231234	0.826625843315347	1.27777792951075	1.28785667107321
"BCL11A"	0.574673594236914	0.200945129425814	0.104610752155815	0.150824984588188	0.211176731944595	0.427930204434459	0.169565461192357
"HEATR5A"	0.876209909378603	0.239204111990582	0.209943656540509	0.191198209345949	0.130164305883133	0.225528497447932	0.116303827885633
"KCNJ6"	1.43793345305559	0.681520129563584	0.048521491212639	0.0664901286760771	0.128523452621122	0.0435857083855335	1.01469676190272
"HAND2-AS1"	4.31039762220936	3.04207046121356	2.26015365355758	2.17662483325384	0.289013873131463	0.545177452233507	1.59777558539644
"TLX2"	0.483954925062708	0.0427630618157986	0.189294040522102	0.207858689391673	0.0367264561466437	0.155962748399717	0.0746210033206552
"NLGN1"	4.06037074946198	0.847000043617116	0.211487298266445	0.41167962018428	6.74153108029541	14.4169638123462	1.97952396004442
"ZNF804B"	1.88960751354453	0.733202836206714	0.0336382983712617	0.0580286027393481	0.76278491057028	0.512008655626156	0.166258606384829
"DLG2"	8.76055743225461	3.30277318324912	3.83166482980282	2.99821379316798	1.8185479472254	3.57488967394284	2.58584104514596
"TMEM132C"	0.0304668725274129	0.960341902433737	4.30316599273438	3.38240437881158	0.117622739903549	0.0966885193369804	0.652496502630023
"TEAD1"	7.12620577047718	4.94457977122115	4.06481415160172	4.32977866908479	3.14901719952268	4.82772136731425	3.73040011725567
"NFIA"	2.97989308823428	0.681677958080431	0.292533785463422	0.318228333929075	3.35838623852922	6.93443255173315	0.653306916019291
"LINC00511"	1.14803954351392	0.376540420131235	0.0629302462291863	0.131923123344669	1.12418184848578	1.60313850582738	0.767396123861094
"KCNT2"	2.64531924148108	1.21267470105147	0.703860363630914	0.934365060785902	1.05199689898961	2.20758571432017	1.35065234538279
"HIST1H2AC"	1.28314763514538	0.435471783727459	0.23111692075413	0.259144379798805	0.46087392435408	0.378415669090803	0.357340822379372
"ANKUB1"	1.38865735295316	0.433557040626263	0.371066070094167	0.440748025437504	0.464946402684784	0.961233908990778	0.293901936205271
"SORBS2"	0.35856095855981	1.47155710768427	2.99745484683805	2.03911610108824	1.06642148278571	1.49991790504023	1.67150880185697
"CHRNA3"	1.0617645696349	0.735158326028047	0.426269256384962	0.327460294018085	0.0642763717562308	0.0909677380128965	0.421349911589452
"PCDH17"	1.14317173829145	0.436558915681594	0.295037236259323	0.25570224718622	0.264335397747999	0.406343279477059	0.15289448743228
"SPOCK1"	0.40444871141767	2.29988008489681	2.25032070768637	2.31168152995025	0.224589647704484	0.328798848077996	2.10146408515855
"TENM1"	1.72586881110373	0.849362675423089	0.56267045047106	0.571241227359872	0.148060884631522	0.122497837769749	0.790208346935452
"LINC01122"	1.2416678372367	0.698885510923244	0.420779387326408	0.382521162511422	0.149873640849466	0.43463156849316	0.346279010542387
"RNF13"	1.14384776356489	0.387679428561724	0.398625855314275	0.28662697811258	0.493000759039032	0.494045760113308	0.25082231330221
"SOX6"	2.0054617025532	0.271931494187984	0.445794400448557	0.247689703465057	4.49021813901002	6.51712020553642	0.219601328833959
"TLN2"	0.823160465999433	2.22714671662956	2.35622099805644	1.90717739693493	0.909781969252648	1.0608830377087	2.22453453752009
"NOL4"	1.18326924682996	0.582133745679382	0.556976940606008	0.479666493106738	0.0705876719527617	0.0430321669131545	0.516734690902521
"DPP6"	7.04880970011822	14.3730815788248	15.7684975302633	14.5012186741266	0.868408800475606	0.757237462676935	16.67478993727
"KCND2"	4.56144455247001	1.19990830845551	1.16150724437975	1.21102407728965	0.252364433930735	0.201928660252643	1.96793922529622
"PLCB4"	3.24682051956352	1.28233155761196	0.685732939139828	1.0427992135419	2.17874808169767	4.31566775143222	1.64790993194201
"CHD7"	2.76305060393543	0.892426302367532	0.536207037912278	0.680535081521162	2.38833496009169	4.27157062993465	0.844794103225525
"RGS5"	0.301820209118953	2.21340897557765	1.93524958747226	1.91607832892021	0.210940288602603	0.182362039399766	1.4177197921613
"MAP7"	0.326775818147308	1.59698453904559	1.92699675583769	1.58532363888106	0.092207015527425	0.132582721899771	1.04399095100597
"NEGR1"	4.65547128097399	1.72941754595386	1.72936832924273	1.98738297057322	1.3172425193061	2.16373238280759	1.64935374309718
"GPC6"	11.3499526943153	3.91426773284309	4.85398626259412	7.23531453602578	10.5955187695593	21.2928770153225	5.02183658493534
"EYA1"	0.164956115379727	1.56722089841628	2.89761996077297	3.3275418146283	0.361517385539472	0.341154588690654	0.438716349873412
"LRTM1"	0.0860067414150165	0.621706097157928	1.06477906994492	0.812120184265223	0.0426505463627152	0.0201271791226699	0.548520590321156
